Code,Districts,Libellé,Latitude,Longitude,Voitures de tourisme pour 1000 habitants 2023,Nb. d'accidents avec blessés/tués 2022,Nb. d'accidents avec dommages matériels 2022,Part des voitures électriques 2023,Gare/station,Surface totale,Altitude maximale,Altitude minimale,Habitat et infrastructures (part du territoire) 2020,Surfaces boisées (part du territoire) 2020,Surfaces agricoles (part du territoire) 2020,Surfaces improductives (part du territoire) 2020,Taux d'accroissement des logements 2021,Densité de population 2023,Part des maisons individuelles 2022,Etablissements tous secteurs 2021,Rapport de dépendance des jeunes 2023,Rapport de dépendance des personnes âgées 2023,Taux annuel 2016-2020,Population résidante permanente 2023,Part des élèves du primaire dans la population 2022,Part des élèves du secondaire inférieur dans la population 2022,Coefficient d'imposition communal 2022,Dépenses d'investissement par habitant (moyenne des 3 dernières années 2022),Marge d'autofinancement par habitant 2022,Excédent ou insuffisance de financement par habitant 2022
5637,Morges,Lavigny,46.5011843,6.4045912,669.5,2,1,7.3,0,397,592,405,16.1,5.3,78.1,0.5,0.49,263,33.8,71,41.1,24,0.05,1052,9.92,3.95,73,58.9,658.4,658.4
5638,Morges,Lonay,46.5265684,6.5206068,681.6,3,4,3.7,1,371,478,374,34.2,7.5,57.7,0.5,5.82,723.9,29.3,283,32.3,36.2,1.44,2693,6.5,3.14,55,129.6,792.4,708.3
5639,Morges,Lully,46.5052587,6.4647302,670.3,2,1,6.6,0,203,482,374,22.2,15.3,62.6,0,0,406.3,46,74,44.7,32.6,1.25,833,10.3,3.76,61,410.3,348.8,286.4
5640,Morges,Lussy-sur-Morges,46.5028627,6.4508849,573,0,1,7.9,0,236,486,393,14.4,13.6,71.6,0.4,0.34,312.8,49,50,52,39.2,2.9,732,11.23,3.42,64.5,50.3,2908.4,2889.1
5642,Morges,Morges,46.5093268,6.498317,456.2,21,33,4.5,1,387,471,371,77,4.4,18.1,0.5,4.67,4635.8,5.4,1478,29.3,29,0.43,17755,6.84,2.49,67,1524.5,915.5,-460.5
5643,Morges,Préverenges,46.5183844,6.5267369,579,8,7,4.1,1,185,433,372,67,3.2,28.1,1.6,0.2,2793,11.8,317,36.3,31.2,-0.17,5223,8.37,3.71,62.5,174.2,-53.7,-143.2
5645,Morges,Romanel-sur-Morges,46.5564288,6.5101067,1169.9,0,0,6,0,171,509,397,17.5,15.8,66.1,0.6,0,262.5,45.5,110,29,30.3,-0.58,462,4.59,3.49,56,1158,713.5,251.6
5646,Morges,Saint-Prex,46.4809059,6.4586004,591.3,7,5,3.5,1,553,465,372,42.9,7.2,49.5,0.4,0.38,1066.2,13.9,367,37.7,27.2,0.89,5907,8.02,3.49,59,395.2,1178.9,915.1
5648,Ouest lausannois,Saint-Sulpice,46.5100832,6.5580607,482.8,4,7,5.1,0,183,407,371,78.7,6,14.2,1.1,1.03,2762.4,11.9,343,37.4,27.5,4.3,5138,6.81,2.44,55,494.8,51.3,-52.6
5649,Morges,Tolochenaz,46.5047001,6.4734539,635.5,1,5,3.9,1,157,431,372,63.7,6.4,29.9,0,0.12,1208.8,23.4,149,36,26.2,0.32,1922,8.04,3.7,64,511,711.5,420.1
