wayId,cycleway,length,coordinates
24814451,opposite,164.24320959775935,"[(46.5133812, 6.6260476), (46.5140342, 6.6262943), (46.5147553, 6.6265566), (46.5148127, 6.6265775)]"
24821346,no,220.20177570035395,"[(46.3839826, 6.9254658), (46.3833867, 6.9248147), (46.3823753, 6.9237934)]"
24980286,separate,139.61663879324175,"[(46.5084628, 6.622865), (46.5085003, 6.6227398), (46.5086425, 6.6222659), (46.5087438, 6.621962), (46.5088645, 6.6216598), (46.5090569, 6.6212698)]"
25112163,lane,255.24344301718264,"[(46.4980386, 6.7015262), (46.4978576, 6.7017901), (46.4976873, 6.7021119), (46.4975339, 6.7024824), (46.4972225, 6.7033013), (46.4970759, 6.7036826), (46.4969308, 6.7039783), (46.4967698, 6.7042804)]"
25112184,lane,885.9739158506613,"[(46.4898261, 6.7409998), (46.4898431, 6.7431819), (46.4898433, 6.7434231), (46.4898377, 6.7436251), (46.4898236, 6.7438994), (46.4898073, 6.7440992), (46.4897804, 6.7443047), (46.4897518, 6.7444719), (46.4897135, 6.7446507), (46.4896563, 6.7448706), (46.4895861, 6.7450954), (46.48954, 6.7452372), (46.4895127, 6.7453129), (46.4894715, 6.7454142), (46.4894277, 6.7455137), (46.4893792, 6.7456175), (46.489269, 6.7458364), (46.4891918, 6.7459854), (46.4890222, 6.7463068), (46.4889199, 6.7465324), (46.4888547, 6.7466876), (46.4887656, 6.7469235), (46.4886995, 6.7471189), (46.4884764, 6.7477782), (46.4882735, 6.748378), (46.4881718, 6.7486518), (46.4880961, 6.748783), (46.4880058, 6.7489101), (46.4875631, 6.7494473), (46.4874828, 6.7495669), (46.4874086, 6.7496996), (46.487327, 6.7498841), (46.4868343, 6.7512326)]"
25748541,opposite,88.46847452253644,"[(46.5140828, 6.639584), (46.5139062, 6.639488), (46.5133011, 6.6394144)]"
25753742,opposite,89.85515438986991,"[(46.3525441, 6.1654668), (46.3525598, 6.1653569), (46.3522611, 6.1646657), (46.352173, 6.1644617)]"
25792175,opposite,180.27127984543694,"[(46.5167135, 6.6246099), (46.5167626, 6.6245804), (46.5167814, 6.6245692), (46.5168023, 6.6245566), (46.5168578, 6.6243965), (46.5169038, 6.6242257), (46.5169352, 6.6240248), (46.5169463, 6.6237378), (46.5169152, 6.6228212), (46.5168921, 6.6223862)]"
25796906,opposite,498.5201608309336,"[(46.3305805, 6.1801923), (46.3306365, 6.18026), (46.3308372, 6.1804798), (46.3309448, 6.1805952), (46.331042, 6.1806777), (46.331129, 6.1807504), (46.3312012, 6.1808084), (46.3312527, 6.18084), (46.331314, 6.1808631), (46.3313738, 6.180874), (46.3314293, 6.1808708), (46.3314802, 6.1808502), (46.331543, 6.1808178), (46.3316615, 6.1807343), (46.3318605, 6.1805915), (46.3319918, 6.180487), (46.3320788, 6.180413), (46.332169, 6.1803253), (46.3323257, 6.180153), (46.3324956, 6.1799629), (46.3326564, 6.1797822), (46.3327705, 6.1796575), (46.3328168, 6.1796144), (46.3328345, 6.179598), (46.3328985, 6.179541), (46.3329771, 6.1794888), (46.3330626, 6.17944), (46.3331315, 6.179415), (46.3331542, 6.1794084), (46.3331994, 6.1793952), (46.333285, 6.1793831), (46.3333605, 6.179377), (46.333445, 6.1793793), (46.3335295, 6.1793818), (46.3336176, 6.1793996), (46.333726, 6.1794231), (46.3338257, 6.1794519), (46.3339202, 6.1794837), (46.3340349, 6.1795232), (46.3341811, 6.1795815), (46.3343205, 6.1796218), (46.3344132, 6.1796396), (46.3344728, 6.1796646), (46.3345145, 6.1796922), (46.3345902, 6.1797661)]"
25837088,lane,168.84473064488577,"[(46.473936, 6.4102391), (46.4739513, 6.4109309), (46.4739866, 6.4124364)]"
